Sample Name,dwelling,lineage,region
Choy01,surface,new,Rio Choy
Choy05,surface,new,Rio Choy
Choy06,surface,new,Rio Choy
Choy09,surface,new,Rio Choy
Choy10,surface,new,Rio Choy
Choy11,surface,new,Rio Choy
Choy12,surface,new,Rio Choy
Choy13,surface,new,Rio Choy
Choy14,surface,new,Rio Choy
Pach3,cave,old,Pachon
Pach7,cave,old,Pachon
Pach8,cave,old,Pachon
Pach9,cave,old,Pachon
Pach11,cave,old,Pachon
Pach12,cave,old,Pachon
Pach14,cave,old,Pachon
Pach15,cave,old,Pachon
Pach17,cave,old,Pachon
Molino2a,cave,new,Molino
Molino7a,cave,new,Molino
Molino9b,cave,new,Molino
Molino10b,cave,new,Molino
Molino11a,cave,new,Molino
Molino12a,cave,new,Molino
Molino13b,cave,new,Molino
Molino14a,cave,new,Molino
Molino15b,cave,new,Molino
Rascon02,surface,old,Rascon
Rascon04,surface,old,Rascon
Tinaja6,cave,old,Tinaja
Tinaja12,cave,old,Tinaja
TinajaB,cave,old,Tinaja
Tinaja2,cave,old,Tinaja
TinajaC,cave,old,Tinaja
Tinaja3,cave,old,Tinaja
TinajaD,cave,old,Tinaja
Tinaja5,cave,old,Tinaja
TinajaE,cave,old,Tinaja
Rascon13,surface,old,Rascon
Rascon15,surface,old,Rascon
Rascon8,surface,old,Rascon
Rascon6,surface,old,Rascon
